path,timestamp,label,benchmark,benchmark_set,structure,schema,schema_description,schema_version,model,run_number,database,total_questions,scored_questions,successful_questions,failed_questions,success_rate,avg_precision,avg_recall,avg_f1,total_run_ms,avg_per_question_ms,avg_llm_ms,avg_generated_query_ms,avg_scoring_ms,errors_total,llm_errors,gold_query_errors,generated_query_errors
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,flat.json,normal,flat,flat_advanced.yaml,flat_advanced,advanced,gpt-4.1-mini,,groundtruth,55,54,32,23,0.5926,0.7357,0.7509,0.7275,123817,2242,1134,524,553,1,1,0,0
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,flat.json,normal,flat,flat_advanced.yaml,flat_advanced,advanced,gpt-5-mini,,groundtruth,55,54,39,16,0.7222,0.8427,0.8387,0.8331,441824,8025,6630,855,508,1,0,0,1
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,flat.json,normal,flat,flat_advanced.yaml,flat_advanced,advanced,gpt-4.1-mini,,groundtruth,55,55,35,20,0.6364,0.7587,0.7654,0.7463,149221,2703,1428,656,587,0,0,0,0
results\flat\flat_advanced\20260524_182147_flat_advanced_flat_gpt-5-mini.json,20260524_182147,flat_advanced_flat_gpt-5-mini,flat.json,normal,flat,flat_advanced.yaml,flat_advanced,advanced,gpt-5-mini,,groundtruth,55,54,41,14,0.7593,0.8494,0.8373,0.838,679834,12352,10921,810,584,1,1,0,0
results\flat\flat_advanced\20260525_022751_flat_advanced_flat_gpt-4.1-mini.json,20260525_022751,flat_advanced_flat_gpt-4.1-mini,flat.json,normal,flat,flat_advanced.yaml,flat_advanced,advanced,gpt-4.1-mini,,groundtruth,55,55,33,22,0.6,0.7472,0.7554,0.7366,130959,2372,1240,533,562,0,0,0,0
results\flat\flat_advanced\20260525_024646_flat_advanced_flat_gpt-5-mini.json,20260525_024646,flat_advanced_flat_gpt-5-mini,flat.json,normal,flat,flat_advanced.yaml,flat_advanced,advanced,gpt-5-mini,,groundtruth,55,54,40,15,0.7407,0.8604,0.8511,0.85,450262,8177,6877,725,544,1,1,0,0
results\flat\flat_naive\20260524_034622_flat_naive_flat_gpt-4.1-mini.json,20260524_034622,flat_naive_flat_gpt-4.1-mini,flat.json,normal,flat,flat_naive.yaml,flat_naive,naive,gpt-4.1-mini,,groundtruth,55,49,31,24,0.6327,0.7802,0.7975,0.7715,135995,2464,1636,262,532,6,5,0,1
results\flat\flat_naive\20260524_035800_flat_naive_flat_gpt-5-mini.json,20260524_035800,flat_naive_flat_gpt-5-mini,flat.json,normal,flat,flat_naive.yaml,flat_naive,naive,gpt-5-mini,,groundtruth,55,54,40,15,0.7407,0.8298,0.8482,0.8299,360756,6551,5471,540,509,1,0,0,1
results\flat\flat_naive\20260524_175522_flat_naive_flat_gpt-4.1-mini.json,20260524_175522,flat_naive_flat_gpt-4.1-mini,flat.json,normal,flat,flat_naive.yaml,flat_naive,naive,gpt-4.1-mini,,groundtruth,55,52,31,24,0.5962,0.7616,0.7882,0.7561,187268,3396,1411,1398,549,3,1,0,2
results\flat\flat_naive\20260524_181028_flat_naive_flat_gpt-5-mini.json,20260524_181028,flat_naive_flat_gpt-5-mini,flat.json,normal,flat,flat_naive.yaml,flat_naive,naive,gpt-5-mini,,groundtruth,55,54,41,14,0.7593,0.8464,0.8452,0.8458,500122,9085,7593,883,571,1,0,0,1
