path,timestamp,label,benchmark_set,structure,schema_version,schema_description,model,run_number,question_id,question,category,operation,status,success,failure_reason,precision,recall,f1,true_positive,gold_count,generated_count,missing_count,extra_count,comparison_mode,empty_result_equivalence,projection_precision,projection_recall,llm_ms,gold_query_ms,generated_query_ms,scoring_ms,total_ms
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,10,"Finn personlige eierskap fra 2023. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år, eierandel og antall aksjer.",find_projection,find,ok,False,Generated query missed one or more expected result documents or values.,0.6428,0.75,0.6923,786,1048,1048,262,262,find projected field-value pairs using gold projection fields,False,0.8571,0.75,1202,0,2,7,1212
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,14,"Finn norske aksjonærer i 2023. Ta med aksjonærnavn, selskap, organisasjonsnummer, aksjeklasse, landkode, år og antall aksjer.",selection_conditions,find,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,463834,0,463834,0,find projected field-value pairs using gold projection fields,False,1.0,1.0,1184,0,105,1580,2993
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,15,"Finn personlige eiere med eierandel over 0 prosent. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år og eierandel.",selection_conditions,find,ok,False,Generated query missed one or more expected result documents or values.,0.4445,0.6667,0.5334,1100,1650,1650,550,550,find projected field-value pairs using gold projection fields,False,0.6667,0.6667,1101,0,2,12,1116
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,17,"Finn aksjeeierbokoppføringer der selskapsnavnet inneholder både INVEST og HOLDING. Ta med selskap, organisasjonsnummer, aksjonærnavn, aksjeklasse og år.",text_or_pattern_filter,find,ok,False,Generated query precision is below the success threshold (0.5).,0.0003,1.0,0.0006,195,195,777175,0,776980,find projected field-value pairs using gold projection fields,False,1.0,1.0,1139,0,1093,2634,4866
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,24,"Finn personlige eierskap med feltene eier, eierFødselsdato, selskap, organisasjonsnummer, år og eierandel.",alias_projection,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,275,275,275,275,"aggregate row values, ignoring output alias names",False,,,1135,0,2,9,1147
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,27,"Finn selskaper som har minst ett eierskapsforhold. Ta med navn, organisasjonsnummer og antall eierskap.",quantifier_exists,aggregate,ok,False,Generated query missed one or more expected result documents or values.,1.0,0.1825,0.3087,23,126,23,103,0,"aggregate row values, ignoring output alias names",False,,,1009,0,17,2,1029
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,28,"Finn personer som både har selskapsrolle og eier aksjer. Ta med navn, fødselsdato, antall roller og antall eide selskaper.",quantifier_exists,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,1,1,1,1,"aggregate row values, ignoring output alias names",False,,,1693,0,31,0,1724
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,29,"Finn politikere som ikke har registrerte selskapsroller. Ta med navn, fødselsdato og parti.",quantifier_exists,aggregate,ok,False,Generated query missed one or more expected result documents or values.,1.0,0.999,0.9995,53217,53272,53217,55,0,"aggregate row values, ignoring output alias names",False,,,1053,0,528,841,2491
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,30,Finn aktive selskaper som har aksjeeierbokoppføringer. Ta med navn og organisasjonsnummer.,quantifier_exists,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.9699,0.9079,0.9379,1065,1173,1098,108,33,"aggregate row values, ignoring output alias names",False,,,1251,0,1973,16,3242
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,32,Finn antall selskaper per organisasjonstype.,aggregate_group_count,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.8571,0.8571,0.8571,6,7,7,1,1,"aggregate row values, ignoring output alias names",False,,,782,0,2,0,785
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,34,Finn antall aksjonærer per landkode.,aggregate_group_count,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.9882,0.9882,0.9882,84,85,85,1,1,"aggregate row values, ignoring output alias names",False,,,1067,0,337,1,1406
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,35,Finn antall eierskapsoppføringer per år.,aggregate_group_count,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,2,2,2,2,"aggregate row values, ignoring output alias names",False,,,807,0,1,0,808
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,36,Finn totalt antall aksjer i aksjeeierboken per selskap for 2023.,aggregate_group_sum,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,879,879,879,879,"aggregate row values, ignoring output alias names",False,,,989,0,90,27,1106
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,37,Finn totalt antall aksjer eid per person.,aggregate_group_sum,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,76,76,76,76,"aggregate row values, ignoring output alias names",False,,,836,0,1,2,841
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,38,Finn totalt antall personstemmer og slengere per parti.,aggregate_group_sum,aggregate,llm_error,False,"JSON parse error: Expecting ',' delimiter: line 1 column 188 (char 187)",,,,,,,,,,False,,,1375,,,,1375
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,39,Finn totalt antall aksjer og stemmer per selskap i eierskap.,aggregate_group_sum,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,126,126,126,126,"aggregate row values, ignoring output alias names",False,,,941,0,2,5,948
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,41,Finn gjennomsnittlig eierandel per selskap.,aggregate_group_avg,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,126,126,126,126,"aggregate row values, ignoring output alias names",False,,,804,0,2,4,810
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,43,Finn gjennomsnittlig antall aksjer per landkode i aksjeeierboken.,aggregate_group_avg,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.9882,0.9882,0.9882,84,85,85,1,1,"aggregate row values, ignoring output alias names",False,,,854,0,540,2,1396
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,48,"Finn personer med roller i flere enn ett selskap. Ta med navn, fødselsdato og antall selskaper.",aggregate_having_sort_limit,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,66,66,66,66,"aggregate row values, ignoring output alias names",False,,,1707,0,17,1,1727
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,50,"Finn de 10 selskapene med flest aksjeeierbokoppføringer. Ta med navn, organisasjonsnummer og antall oppføringer.",aggregate_having_sort_limit,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.3,0.3,0.3,3,10,10,7,7,"aggregate row values, ignoring output alias names",False,,,1950,0,331,0,2282
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,52,"Finn politikere som eier aksjer. Ta med navn, fødselsdato, parti, selskap og eierandel.",lookup_join,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,2,0,2,0,"aggregate row values, ignoring output alias names",False,,,2283,0,6558,0,8842
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,53,"Finn aksjeeierbokoppføringer for konkursbedrifter i 2023. Ta med aksjonærnavn, selskap, organisasjonsnummer og antall aksjer.",lookup_join,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.9074,0.9074,0.9074,98,108,108,10,10,"aggregate row values, ignoring output alias names",False,,,1412,0,5838,3,7253
results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json,20260524_034826,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,54,"Finn selskaper som har politikere med selskapsrolle. Ta med selskapsnavn, organisasjonsnummer og antall politikerroller.",lookup_join,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,68,0,68,0,"aggregate row values, ignoring output alias names",False,,,1348,0,5,1,1357
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,10,"Finn personlige eierskap fra 2023. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år, eierandel og antall aksjer.",find_projection,find,ok,False,Generated query missed one or more expected result documents or values.,0.875,0.875,0.875,917,1048,1048,131,131,find projected field-value pairs using gold projection fields,False,1.0,0.875,5921,0,2,7,5932
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,12,"Finn selskaper etablert mellom 2015 og 2020. Ta med navn, organisasjonsnummer og etableringsdato.",selection_conditions,find,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,1623,0,1623,0,find projected field-value pairs using gold projection fields,False,1.0,1.0,8100,0,2,6,8109
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,22,"Finn politikere med feltene politikerNavn, fødselsdato, parti, kommune og stemmer totalt.",alias_projection,aggregate,generated_query_error,False,"Executor error during aggregate command on namespace: groundtruth.politikere :: caused by :: Failed to parse number 'Ja' in $convert with no onError value: Did not consume any digits, full error: {'ok': 0.0, 'errmsg': ""Executor error during aggregate command on namespace: groundtruth.politikere :: caused by :: Failed to parse number 'Ja' in $convert with no onError value: Did not consume any digits"", 'code': 241, 'codeName': 'ConversionFailure'}",,,,,,,,,,False,,,7637,0,6,,7748
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,27,"Finn selskaper som har minst ett eierskapsforhold. Ta med navn, organisasjonsnummer og antall eierskap.",quantifier_exists,aggregate,ok,False,Generated query missed one or more expected result documents or values.,1.0,0.1825,0.3087,23,126,23,103,0,"aggregate row values, ignoring output alias names",False,,,5838,0,16,2,5856
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,30,Finn aktive selskaper som har aksjeeierbokoppføringer. Ta med navn og organisasjonsnummer.,quantifier_exists,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,1173,0,1173,0,"aggregate row values, ignoring output alias names",False,,,6907,0,3,9,6920
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,32,Finn antall selskaper per organisasjonstype.,aggregate_group_count,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.8571,0.8571,0.8571,6,7,7,1,1,"aggregate row values, ignoring output alias names",False,,,4472,0,2,0,4475
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,34,Finn antall aksjonærer per landkode.,aggregate_group_count,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.1059,0.1059,0.1059,9,85,85,76,76,"aggregate row values, ignoring output alias names",False,,,5067,0,1742,1,6811
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,35,Finn antall eierskapsoppføringer per år.,aggregate_group_count,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,2,2,2,2,"aggregate row values, ignoring output alias names",False,,,5384,0,1,0,5386
