timestamp,label,model,structure,structure_base,schema_description,schema_version,benchmark,benchmark_set,total_questions,scored_questions,successful_questions,failed_questions,success_rate,avg_precision,avg_recall,avg_f1,error_total,avg_time_ms,path
20260524_034826,flat_advanced_flat_gpt-4.1-mini,gpt-4.1-mini,flat,flat,flat_advanced,advanced,flat.json,main,55,54,32,23,0.5926,0.7357,0.7509,0.7275,1,2242,results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json
20260524_040522,flat_advanced_flat_gpt-5-mini,gpt-5-mini,flat,flat,flat_advanced,advanced,flat.json,main,55,54,39,16,0.7222,0.8427,0.8387,0.8331,1,8025,results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json
20260524_175751,flat_advanced_flat_gpt-4.1-mini,gpt-4.1-mini,flat,flat,flat_advanced,advanced,flat.json,main,55,55,35,20,0.6364,0.7587,0.7654,0.7463,0,2703,results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json
20260524_182147,flat_advanced_flat_gpt-5-mini,gpt-5-mini,flat,flat,flat_advanced,advanced,flat.json,main,55,54,41,14,0.7593,0.8494,0.8373,0.838,1,12352,results\flat\flat_advanced\20260524_182147_flat_advanced_flat_gpt-5-mini.json
20260525_022751,flat_advanced_flat_gpt-4.1-mini,gpt-4.1-mini,flat,flat,flat_advanced,advanced,flat.json,main,55,55,33,22,0.6,0.7472,0.7554,0.7366,0,2372,results\flat\flat_advanced\20260525_022751_flat_advanced_flat_gpt-4.1-mini.json
20260525_024646,flat_advanced_flat_gpt-5-mini,gpt-5-mini,flat,flat,flat_advanced,advanced,flat.json,main,55,54,40,15,0.7407,0.8604,0.8511,0.85,1,8177,results\flat\flat_advanced\20260525_024646_flat_advanced_flat_gpt-5-mini.json
20260524_034622,flat_naive_flat_gpt-4.1-mini,gpt-4.1-mini,flat,flat,flat_naive,naive,flat.json,main,55,49,31,24,0.6327,0.7802,0.7975,0.7715,6,2464,results\flat\flat_naive\20260524_034622_flat_naive_flat_gpt-4.1-mini.json
20260524_035800,flat_naive_flat_gpt-5-mini,gpt-5-mini,flat,flat,flat_naive,naive,flat.json,main,55,54,40,15,0.7407,0.8298,0.8482,0.8299,1,6551,results\flat\flat_naive\20260524_035800_flat_naive_flat_gpt-5-mini.json
20260524_175522,flat_naive_flat_gpt-4.1-mini,gpt-4.1-mini,flat,flat,flat_naive,naive,flat.json,main,55,52,31,24,0.5962,0.7616,0.7882,0.7561,3,3396,results\flat\flat_naive\20260524_175522_flat_naive_flat_gpt-4.1-mini.json
20260524_181028,flat_naive_flat_gpt-5-mini,gpt-5-mini,flat,flat,flat_naive,naive,flat.json,main,55,54,41,14,0.7593,0.8464,0.8452,0.8458,1,9085,results\flat\flat_naive\20260524_181028_flat_naive_flat_gpt-5-mini.json
20260525_022540,flat_naive_flat_gpt-4.1-mini,gpt-4.1-mini,flat,flat,flat_naive,naive,flat.json,main,55,51,32,23,0.6275,0.7882,0.784,0.7792,4,3190,results\flat\flat_naive\20260525_022540_flat_naive_flat_gpt-4.1-mini.json
20260525_023916,flat_naive_flat_gpt-5-mini,gpt-5-mini,flat,flat,flat_naive,naive,flat.json,main,55,54,41,14,0.7593,0.8398,0.8641,0.8421,1,7234,results\flat\flat_naive\20260525_023916_flat_naive_flat_gpt-5-mini.json
20260525_184825,flat_advanced_flat_complex_gpt-4.1-mini_run01,gpt-4.1-mini,flat_complex,flat,flat_advanced,advanced,flat_complex.json,complex,5,5,5,0,1,1,1,1,0,10806,results\flat_complex\flat_advanced\20260525_184825_flat_advanced_flat_complex_gpt-4.1-mini_run01.json
20260525_185530,flat_advanced_flat_complex_gpt-5-mini_run01,gpt-5-mini,flat_complex,flat,flat_advanced,advanced,flat_complex.json,complex,5,4,3,2,0.75,0.75,0.75,0.75,1,33290,results\flat_complex\flat_advanced\20260525_185530_flat_advanced_flat_complex_gpt-5-mini_run01.json
20260525_190113,flat_advanced_flat_complex_gpt-4.1-mini_run02,gpt-4.1-mini,flat_complex,flat,flat_advanced,advanced,flat_complex.json,complex,5,5,5,0,1,1,1,1,0,9856,results\flat_complex\flat_advanced\20260525_190113_flat_advanced_flat_complex_gpt-4.1-mini_run02.json
20260525_190758,flat_advanced_flat_complex_gpt-5-mini_run02,gpt-5-mini,flat_complex,flat,flat_advanced,advanced,flat_complex.json,complex,5,3,2,3,0.6667,0.6667,0.6667,0.6667,2,30689,results\flat_complex\flat_advanced\20260525_190758_flat_advanced_flat_complex_gpt-5-mini_run02.json
20260525_191314,flat_advanced_flat_complex_gpt-4.1-mini_run03,gpt-4.1-mini,flat_complex,flat,flat_advanced,advanced,flat_complex.json,complex,5,5,5,0,1,1,1,1,0,10069,results\flat_complex\flat_advanced\20260525_191314_flat_advanced_flat_complex_gpt-4.1-mini_run03.json
20260525_191823,flat_advanced_flat_complex_gpt-5-mini_run03,gpt-5-mini,flat_complex,flat,flat_advanced,advanced,flat_complex.json,complex,5,4,3,2,0.75,0.75,0.75,0.75,1,21603,results\flat_complex\flat_advanced\20260525_191823_flat_advanced_flat_complex_gpt-5-mini_run03.json
20260525_184731,flat_naive_flat_complex_gpt-4.1-mini_run01,gpt-4.1-mini,flat_complex,flat,flat_naive,naive,flat_complex.json,complex,5,5,3,2,0.6,0.687,0.7111,0.6976,0,5498,results\flat_complex\flat_naive\20260525_184731_flat_naive_flat_complex_gpt-4.1-mini_run01.json
20260525_185243,flat_naive_flat_complex_gpt-5-mini_run01,gpt-5-mini,flat_complex,flat,flat_naive,naive,flat_complex.json,complex,5,5,3,2,0.6,0.6,0.6,0.6,0,32598,results\flat_complex\flat_naive\20260525_185243_flat_naive_flat_complex_gpt-5-mini_run01.json
20260525_190024,flat_naive_flat_complex_gpt-4.1-mini_run02,gpt-4.1-mini,flat_complex,flat,flat_naive,naive,flat_complex.json,complex,5,5,3,2,0.6,0.6435,0.6556,0.6488,0,5489,results\flat_complex\flat_naive\20260525_190024_flat_naive_flat_complex_gpt-4.1-mini_run02.json
20260525_190525,flat_naive_flat_complex_gpt-5-mini_run02,gpt-5-mini,flat_complex,flat,flat_naive,naive,flat_complex.json,complex,5,5,3,2,0.6,0.6,0.6,0.6,0,32379,results\flat_complex\flat_naive\20260525_190525_flat_naive_flat_complex_gpt-5-mini_run02.json
20260525_191223,flat_naive_flat_complex_gpt-4.1-mini_run03,gpt-4.1-mini,flat_complex,flat,flat_naive,naive,flat_complex.json,complex,5,5,3,2,0.6,0.6435,0.6556,0.6488,0,8157,results\flat_complex\flat_naive\20260525_191223_flat_naive_flat_complex_gpt-4.1-mini_run03.json
20260525_191635,flat_naive_flat_complex_gpt-5-mini_run03,gpt-5-mini,flat_complex,flat,flat_naive,naive,flat_complex.json,complex,5,4,2,3,0.5,0.5,0.5,0.5,1,22247,results\flat_complex\flat_naive\20260525_191635_flat_naive_flat_complex_gpt-5-mini_run03.json
20260524_035159,structured_advanced_structured_gpt-4.1-mini,gpt-4.1-mini,structured,structured,structured_advanced,advanced,structured.json,main,55,55,27,28,0.4909,0.6171,0.6666,0.6164,0,2028,results\structured\structured_advanced\20260524_035159_structured_advanced_structured_gpt-4.1-mini.json
