timestamp,label,benchmark,structure,schema,model,questions,successful_questions,success_rate,precision,recall,f1,runtime_s,error_total,path
20260524_034826,flat_advanced_flat_gpt-4.1-mini,standard,flat,technical,gpt-4.1-mini,55,32,0.5926,0.7357,0.7509,0.7275,2.242,1,results\flat\flat_advanced\20260524_034826_flat_advanced_flat_gpt-4.1-mini.json
20260524_040522,flat_advanced_flat_gpt-5-mini,standard,flat,technical,gpt-5-mini,55,39,0.7222,0.8427,0.8387,0.8331,8.025,1,results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json
20260524_175751,flat_advanced_flat_gpt-4.1-mini,standard,flat,technical,gpt-4.1-mini,55,35,0.6364,0.7587,0.7654,0.7463,2.703,0,results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json
20260524_182147,flat_advanced_flat_gpt-5-mini,standard,flat,technical,gpt-5-mini,55,41,0.7593,0.8494,0.8373,0.838,12.352,1,results\flat\flat_advanced\20260524_182147_flat_advanced_flat_gpt-5-mini.json
20260525_022751,flat_advanced_flat_gpt-4.1-mini,standard,flat,technical,gpt-4.1-mini,55,33,0.6,0.7472,0.7554,0.7366,2.372,0,results\flat\flat_advanced\20260525_022751_flat_advanced_flat_gpt-4.1-mini.json
20260525_024646,flat_advanced_flat_gpt-5-mini,standard,flat,technical,gpt-5-mini,55,40,0.7407,0.8604,0.8511,0.85,8.177,1,results\flat\flat_advanced\20260525_024646_flat_advanced_flat_gpt-5-mini.json
20260524_034622,flat_naive_flat_gpt-4.1-mini,standard,flat,naive,gpt-4.1-mini,55,31,0.6327,0.7802,0.7975,0.7715,2.464,6,results\flat\flat_naive\20260524_034622_flat_naive_flat_gpt-4.1-mini.json
20260524_035800,flat_naive_flat_gpt-5-mini,standard,flat,naive,gpt-5-mini,55,40,0.7407,0.8298,0.8482,0.8299,6.551,1,results\flat\flat_naive\20260524_035800_flat_naive_flat_gpt-5-mini.json
20260524_175522,flat_naive_flat_gpt-4.1-mini,standard,flat,naive,gpt-4.1-mini,55,31,0.5962,0.7616,0.7882,0.7561,3.396,3,results\flat\flat_naive\20260524_175522_flat_naive_flat_gpt-4.1-mini.json
20260524_181028,flat_naive_flat_gpt-5-mini,standard,flat,naive,gpt-5-mini,55,41,0.7593,0.8464,0.8452,0.8458,9.085,1,results\flat\flat_naive\20260524_181028_flat_naive_flat_gpt-5-mini.json
20260525_022540,flat_naive_flat_gpt-4.1-mini,standard,flat,naive,gpt-4.1-mini,55,32,0.6275,0.7882,0.784,0.7792,3.19,4,results\flat\flat_naive\20260525_022540_flat_naive_flat_gpt-4.1-mini.json
20260525_023916,flat_naive_flat_gpt-5-mini,standard,flat,naive,gpt-5-mini,55,41,0.7593,0.8398,0.8641,0.8421,7.234,1,results\flat\flat_naive\20260525_023916_flat_naive_flat_gpt-5-mini.json
20260525_184825,flat_advanced_flat_complex_gpt-4.1-mini_run01,complex,flat,technical,gpt-4.1-mini,5,5,1,1,1,1,10.806,0,results\flat_complex\flat_advanced\20260525_184825_flat_advanced_flat_complex_gpt-4.1-mini_run01.json
20260525_185530,flat_advanced_flat_complex_gpt-5-mini_run01,complex,flat,technical,gpt-5-mini,5,3,0.75,0.75,0.75,0.75,33.29,1,results\flat_complex\flat_advanced\20260525_185530_flat_advanced_flat_complex_gpt-5-mini_run01.json
