benchmark,question_id,operation,category,observations,success_rate_mean,precision_mean,recall_mean,f1_mean,error_runs,question
standard,35,aggregate,aggregate_group_count,24,0,0,0,0,0,Finn antall eierskapsoppføringer per år.
standard,37,aggregate,aggregate_group_sum,24,0,0,0,0,1,Finn totalt antall aksjer eid per person.
standard,38,aggregate,aggregate_group_sum,24,0,0,0,0,1,Finn totalt antall personstemmer og slengere per parti.
standard,28,aggregate,quantifier_exists,24,0.25,0.25,0.25,0.25,0,"Finn personer som både har selskapsrolle og eier aksjer. Ta med navn, fødselsdato, antall roller og antall eide selskaper."
standard,52,aggregate,lookup_join,24,0.16666666666666666,0.25017500000000004,0.4166666666666667,0.28605416666666666,5,"Finn politikere som eier aksjer. Ta med navn, fødselsdato, parti, selskap og eierandel."
standard,14,find,selection_conditions,24,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0,"Finn norske aksjonærer i 2023. Ta med aksjonærnavn, selskap, organisasjonsnummer, aksjeklasse, landkode, år og antall aksjer."
standard,41,aggregate,aggregate_group_avg,24,0.2916666666666667,0.31349166666666667,0.31349166666666667,0.31349166666666667,0,Finn gjennomsnittlig eierandel per selskap.
standard,39,aggregate,aggregate_group_sum,24,0.375,0.375,0.375,0.375,0,Finn totalt antall aksjer og stemmer per selskap i eierskap.
standard,27,aggregate,quantifier_exists,24,0.125,1,0.28468750000000004,0.3951125,0,"Finn selskaper som har minst ett eierskapsforhold. Ta med navn, organisasjonsnummer og antall eierskap."
standard,22,aggregate,alias_projection,24,0.375,0.3988541666666667,0.39875,0.39880000000000004,11,"Finn politikere med feltene politikerNavn, fødselsdato, parti, kommune og stemmer totalt."
standard,50,aggregate,aggregate_having_sort_limit,24,0.2916666666666667,0.4416666666666667,0.4416666666666667,0.4416666666666667,0,"Finn de 10 selskapene med flest aksjeeierbokoppføringer. Ta med navn, organisasjonsnummer og antall oppføringer."
standard,34,aggregate,aggregate_group_count,24,0,0.47352500000000003,0.47352500000000003,0.47352500000000003,0,Finn antall aksjonærer per landkode.
standard,36,aggregate,aggregate_group_sum,24,0.4583333333333333,0.4924625,0.4924625,0.4924625,0,Finn totalt antall aksjer i aksjeeierboken per selskap for 2023.
standard,30,aggregate,quantifier_exists,24,0,0.5253624999999998,0.4917791666666666,0.5080291666666664,1,Finn aktive selskaper som har aksjeeierbokoppføringer. Ta med navn og organisasjonsnummer.
